,阅读数,评论数,标题,作者,最后更新,情绪
0,15862,172,今天乱猜一下,萍踪狐影,08-24 09:11,0.46843113551070614
1,5214,184, 今天外围暴跌，不用慌，也就是影响下开盘，3259不破就,荒原草丶,08-24 09:11,0.7601515608063808
2,4813,13,话说   大盘8.24盘前,飞石点金,08-24 09:11,0.4749765614707755
3,101,3,记新闻,SanctaSimplicita,08-24 09:11,0.8169657282337809
4,23382,495,赚稳当的钱（8.24周三操作计划分享）,畅享快乐,08-24 09:11,0.14515583910280416
5,52077,1174, “大圣此去欲何！”“踏南天碎凌霄”“若一去不回”“,Rock_C,08-24 09:10,0.26976796454920016
6,1133,12,不畏浮云遮望眼，此处可低吸,八风无痕,08-24 09:10,0.25055132313048056
7,149,2,真的赚不回来了，感觉炒股很难赚到钱了，每次一买就跌,短线森森,08-24 09:10,0.010739065740571818
8,1870,26,对目前A股大盘的技术分析(555)[22-28日走势研判],程楠,08-24 09:10,0.5431318519553281
9,2287,38, 七年之庠，八年起涨！今年夲质属，最后一次金蹲年,谦谦怡,08-24 09:10,0.8764558287473673
10,66,1,老杨【2022.8.24早资讯整理及受益标的】,老杨投资日记,08-24 09:10,0.8207450773620392
11,22113,275,高抛后，现等待低吸,神剑SUN,08-24 09:10,0.2592802728142145
12,1,0,今半导体板块和附属软件科技板块会有反弹机会！银行板,九鼎久,08-24 09:10,0.8001297081718759
13,53,0,今天将在宁德的带领下上冲3000点大关,股友E55z798711,08-24 09:10,0.3956749482667574
14,25,1, 【二进三早盘--指数要有大动作了】指数今天要有大动作,狙哥二进三,08-24 09:10,0.4777620411098418
15,551,28,市场是让炒股人思念的地方，留下多少伤感的痛，那种痛,北京小影,08-24 09:09,0.9992866092566933
16,693,11,8月23日晚间！市场刚传来重磅消息，事关A股后期的行情,鹏哥分析,08-24 09:09,0.4822295565812035
17,745,27, 大盘目前极度弱势，抛盘不断，还会有震荡向下的可能。,股友aEQrk7,08-24 09:09,0.20816794255972548
18,1,0,市场寒风凛冽之时，往往是主力往上攻的时机，今大盘开,九鼎久,08-24 09:08,0.8326024644755374
19,1,0,长安汽车抄底第一人，我只想说，除了狐导，唯一让我叹,基民代表人物,08-24 09:08,0.9110349103237614
20,3844,13,一鼓作气上冲，还是有点难度,八风无痕,08-24 09:08,0.9296356290041992
21,28,1,中国移动采购20000个华为5G通讯手机壳，由数源科技研,沈华东,08-24 09:08,0.36715349608522796
22,107,0,物以类聚，人以群分,廿八天,08-24 09:08,0.4431368814132983
23,38,1,今日1,上上下下3000,08-24 09:08,0.7973720452558202
24,33.2万,6097,上个帖子发布一年多了，目前大盘指数多了300多点。在,熊吃人,08-24 09:07,0.3958951786582102
25,1659,3,8.24  早评  旗手的异动是市场做多的开始么？,不喝啤酒的啤酒肚,08-24 09:07,0.5122636523201538
26,4511,206,【作于东方网络涨停时】,黄金大道kx,08-24 09:07,0.380272498700821
27,14,0,市场利好消息,京居报道,08-24 09:07,0.6978842087381371
